	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543
56937	544	586	782	988	1060	657
105416157	30	45	89	105	79	58
105372692	22	11	30	28	29	23
107987284	0	16	6	5	10	29
55370	164	337	470	429	500	324
57403	1274	3367	3061	3922	3890	3287
9217	1892	4520	6013	6350	6901	5226
164284	50	49	32	40	24	43
149773	4	8	16	9	8	17
107985410	8	18	5	4	13	16
100534593	990	1212	1127	1251	1154	1068
8675	1986	2456	2639	2988	2758	2700
79716	702	503	420	387	421	326
100126296	0	10	12	7	8	12
149775	104	113	101	122	99	84
2778	19908	35689	40142	41708	52180	34549
51497	1396	4139	4380	4341	5779	4227
1522	618	865	967	1027	1046	801
81027	61	187	159	219	176	119
514	806	2399	2468	2554	3032	1893
100533975	845	2725	2907	3036	3605	2216
51012	341	2079	2117	2454	2760	1935
1908	4	29	73	147	191	219
116154	328	493	301	678	776	324
107985430	240	137	38	77	64	59
100506384	10	13	2	9	13	3
10388	54	151	132	171	166	175
63939	866	1878	2807	2770	2800	2090
5509	138	278	386	405	400	292
60437	19	26	57	61	34	41
1002	1926	2384	1388	1837	2574	3360
105372703	147	227	193	236	263	251
100128310	42	13	8	10	6	27
6874	938	1500	1404	1622	1928	1507
105372704	37	80	94	79	63	85
105372705	89	79	64	58	60	62
105372706	23	37	44	36	36	30
149986	2071	3562	3206	3770	3769	3287
5688	4856	6508	7947	7607	9634	6907
26039	1281	1885	1840	1980	1904	1651
26164	1289	1200	1056	1200	1246	1115
11255	81	79	93	68	125	39
9885	1004	1697	1677	1993	2002	1552
11047	1551	2346	2505	2335	3798	2407
105372707	122	185	188	165	261	193
3911	2425	859	2185	1600	1239	713
101928158	24	15	38	38	30	12
105372708	144	116	100	77	85	77
6227	4605	5321	7516	6254	6879	4854
81928	704	1476	1997	2083	2724	1881
105372709	82	107	114	81	98	100
28231	58	91	148	150	203	196
101928465	16	13	40	22	20	20
100127888	0	11	22	2	13	10
4923	31	48	26	14	17	16
55257	907	1318	1443	1577	1815	1416
101409261	25	17	26	19	22	26
11054	1787	400	216	248	281	315
1299	727	80	276	254	278	314
10732	794	934	1436	1324	1466	1269
100132911	68	54	67	80	66	92
105372717	52	78	91	104	67	84
11083	5333	6723	5884	7184	7012	6880
54994	3692	4071	4908	4919	5894	4182
63910	27	17	19	2	10	8
105372718	17	5	3	4	12	5
54915	1347	2697	3078	3306	4007	3038
79444	14	10	9	1	11	17
128414	494	607	797	612	590	514
100192386	238	71	84	70	59	75
55738	2725	1912	1995	2012	2293	1971
57642	54	22	12	16	17	10
1137	494	195	119	277	188	112
100130587	39	22	7	7	11	2
3785	9099	4666	2697	2912	3924	3113
105372724	60	48	13	11	10	24
105372721	64	36	30	26	25	25
105372720	291	78	23	12	10	40
1917	804	682	208	589	630	269
105372725	105	45	37	67	27	33
102723814	302	79	39	54	52	65
79144	2454	4366	4760	4970	6084	3953
5753	207	165	145	115	133	160
6725	36	15	15	12	3	4
79025	43	63	67	90	61	33
85441	1301	455	373	447	286	230
26205	997	1078	1159	1327	1500	1030
100505771	141	94	77	110	100	84
50861	6789	6651	2563	4116	5350	4945
105372726	21	67	34	43	53	43
100533107	690	554	628	514	687	607
51750	748	568	650	513	720	609
8771	56	22	28	22	25	25
10139	1300	689	711	690	808	676
84619	1366	387	317	296	296	336
54923	355	135	101	149	98	93
56731	3197	2518	2985	2545	3412	2311
140685	891	889	922	1108	1001	795
101928604	22	9	0	9	4	15
140701	210	151	137	150	166	202
112268269	50	106	74	106	118	123
7165	1576	2799	3916	3831	4439	3329
80331	4511	3965	3756	4443	5376	3766
54963	931	873	1140	1097	1262	955
100302137	23	6	17	11	14	14
693232	41	31	39	15	38	21
100113386	484	173	199	145	182	170
57473	1996	1363	993	1169	1066	1049
140700	235	314	288	204	287	188
24148	4656	3948	3243	3900	3717	3924
284739	185	47	30	33	34	53
6919	1807	1064	1067	990	1342	822
10287	171	152	275	281	294	241
4987	57	57	110	120	155	82
4661	1276	793	243	475	385	190
55251	1554	2704	3590	3818	3577	2931
140849	16	24	21	21	17	13
105372831	14	11	11	5	5	9
101928576	65	8	7	10	5	2
102724023	886	1101	1466	1257	1631	1175
102724159	269	489	600	458	620	533
102724200	221	480	606	682	691	552
105379487	25	63	70	75	59	70
102724219	160	701	886	751	676	647
107987309	19	38	30	28	27	11
102724334	88	339	314	244	298	210
105379490	5	9	12	11	16	14
102724398	37	14	17	20	17	21
102724428	158	239	588	702	857	853
102724701	773	1376	1844	1441	1320	1347
102724843	546	1642	2095	1652	1495	1524
105379493	319	340	434	374	296	375
107987290	12	50	82	52	48	45
102724560	2561	1356	2357	1862	2121	2165
102724594	1302	3040	3035	3126	4098	3154
105379499	400	595	688	636	525	591
102724951	290	1020	1292	1058	991	913
107987308	21	34	38	23	23	13
102723360	173	671	859	711	633	610
102723553	188	238	218	254	244	200
102723451	3	19	20	13	20	14
105379504	18	27	25	40	28	30
109864279	2459416	257423	296093	271261	266587	213104
100500862	19417	981	1334	1099	1059	629
109864280	3032	8541	278	785	463	110
109864281	2208	2083	2088	2284	1703	1440
109864282	17187	13588	873	1780	1562	382
105379506	53	17	28	27	19	12
107987293	118	19	41	29	22	22
102723570	18	29	40	34	30	22
109910379	2846559	289974	345640	310969	314202	244391
109910380	11182	8500	482	836	529	148
109910381	13828	10570	11847	11165	11621	9127
109910382	31683	13370	1271	2031	1802	535
112268284	22559	3060	777	955	969	396
105379508	62	21	35	29	22	12
102723584	18	31	41	31	31	24
106631777	2205420	242901	277678	259157	255351	197408
113218488	1376	45	56	46	48	21
106631781	3377	7867	357	814	505	152
106632260	2844	2334	2773	2878	2685	2072
