	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543
100287102	25	49	39	46	39	41
653635	1497	827	863	857	1104	750
102466751	49	52	64	40	51	48
107985730	6	10	17	25	16	10
100996442	141	114	176	148	145	113
729737	1566	544	930	709	653	547
102725121	31	55	49	66	57	62
102723897	1353	834	865	982	1143	817
102465909	30	24	28	18	26	21
107985721	23	31	28	53	40	23
112268260	23	32	27	33	28	20
100132287	1467	801	1076	881	881	793
113219467	5374	5228	4657	4515	5969	3938
81399	12	35	28	32	35	27
100133331	951	592	824	680	657	594
107984841	241	253	328	300	259	306
107984847	467	340	445	392	443	369
107984849	40	94	101	68	114	97
100288069	302	317	393	365	356	306
105378580	102	246	227	314	292	215
400728	54	65	68	53	49	51
79854	59	65	65	74	76	74
643837	775	1051	1007	1319	1378	833
284600	255	159	167	191	211	179
100130417	77	51	89	76	58	75
107985728	131	18	40	73	63	26
148398	508	232	290	367	368	236
26155	2283	2405	2432	2505	3127	2769
339451	635	261	457	342	410	287
57801	5540	1180	1673	1120	1257	347
9636	67	66	138	103	127	66
375790	26801	7722	6542	7190	5903	4626
100288175	27	16	20	14	14	4
112267874	20	8	13	3	6	3
105378948	13	13	15	14	15	7
54991	348	552	581	497	604	500
100506376	59	18	4	25	14	7
254173	42	28	19	32	26	3
51150	3083	2527	2429	2905	3249	2460
126792	2435	1545	1632	1835	2278	1661
388581	56	11	11	11	16	19
118424	3939	1941	2045	2033	2606	1849
101928895	186	88	113	103	117	72
6339	150	91	220	96	130	105
116983	5124	1788	1349	1326	1381	1173
126789	680	391	668	466	717	471
54973	1120	1956	2454	2234	2900	2048
102465435	10	4	4	4	10	3
80772	674	524	519	552	671	456
83756	162	54	48	36	40	44
1855	1593	1072	1061	1213	1195	1097
54587	374	202	523	564	389	331
54998	1800	1690	2100	1760	2627	1659
81669	3903	5278	9112	6874	8118	6225
148413	330	578	597	718	636	561
55052	1440	1558	1824	1716	2250	1645
107984868	11	37	43	49	47	67
441869	44	20	20	26	20	19
102724312	74	11	20	19	32	6
107985729	36	3	12	12	11	9
64856	513	255	368	532	620	548
219293	108	47	33	56	67	67
83858	2724	1416	1285	1234	1331	1242
55210	1422	1038	950	945	1029	1119
339453	243	127	135	117	130	115
29101	1660	2671	3603	3355	4425	3001
643988	225	171	274	257	418	233
105378586	14	9	12	25	24	20
142678	2643	1100	898	914	1028	764
8510	184	92	88	92	85	61
984	1649	1269	1037	928	1052	907
728661	12108	7802	8716	9991	10947	7664
8511	30	23	32	31	23	11
728642	1282	859	677	645	678	631
9906	6960	4827	5098	6010	5828	4340
112268218	195	148	147	141	196	140
65220	1502	1502	1799	1751	2076	1560
2782	7910	21017	20946	23372	27422	20380
105378949	70	25	21	38	30	29
163688	6	4	16	13	4	9
339456	56	56	116	56	68	28
85452	144	57	128	83	66	39
107984872	3	4	15	10	6	1
105378589	16	13	18	35	21	7
2563	52	46	39	72	81	23
5590	645	900	1101	1194	1147	736
100506504	84	126	188	211	206	165
199990	1991	1105	1511	1263	1717	1116
112268219	354	207	169	164	167	171
6497	4653	3635	4268	4414	4233	4508
79906	457	619	690	664	692	647
100129534	62	130	163	181	158	137
11079	1971	2900	3312	3492	4139	3122
5192	660	1031	1045	990	1275	908
9651	396	131	235	154	178	83
55229	1220	1195	1257	1220	1350	1129
388585	2794	1247	3545	2270	1877	409
115110	48	3	18	15	16	10
8764	32	2	18	14	7	1
100996583	3	17	18	18	19	10
127281	2436	1394	1551	1590	1955	1444
79258	82	121	144	146	172	140
105378597	0	0	15	21	22	10
100287898	0	0	76	101	88	150
440556	776	307	493	564	449	223
63976	2285	1354	3324	3524	3238	1165
105378606	87	46	86	88	40	44
107984909	95	39	85	70	53	28
105378605	74	51	87	91	61	16
105378604	653	289	750	749	409	410
27237	254	366	285	269	248	186
1953	3213	825	1193	1013	1018	1009
105378608	56	13	30	17	10	25
105378607	21	7	6	5	10	6
127262	613	639	787	882	857	692
49856	358	531	602	576	742	498
7161	540	583	139	531	838	456
105378610	19	18	1	10	23	8
57212	2730	2076	1764	1978	2176	1898
148870	21	23	28	49	28	37
388588	76	29	50	55	54	30
57470	4212	2274	1895	2300	2547	2160
9731	1449	1637	1608	1807	2210	1403
1677	392	297	350	403	377	382
107984910	30	36	41	72	56	61
339448	620	1015	1382	1398	1637	1199
100133612	5	15	16	8	16	24
55966	139	187	51	81	131	112
261734	1271	1178	1521	1427	1526	1290
8514	266	345	409	544	438	330
26038	73	47	16	26	24	18
6146	4712	10492	14556	15211	16776	11119
107985733	14	16	31	22	36	15
388591	145	133	167	160	156	185
23463	2257	5144	6760	6290	7646	6325
148645	37	49	29	31	32	49
390992	226	138	50	73	99	227
387509	2434	1921	1745	1874	2287	1988
11332	2281	3690	3701	3476	5475	3721
83715	77	53	53	47	84	128
8718	410	246	179	155	151	141
57449	1849	1143	777	755	752	820
79707	4105	4337	5194	5981	6314	4988
80835	28	10	11	15	9	13
3104	458	632	606	684	719	573
9903	879	721	1021	907	1001	869
107984913	101	90	48	58	88	62
148479	1337	1665	2342	2178	2158	1831
90326	677	953	1048	954	1281	991
55735	1486	2156	2398	2462	3197	2459
110841581	94	25	30	40	44	40
23261	1872	3432	3121	3818	3812	2632
105376689	268	427	312	495	486	225
9341	440	1480	3016	2632	2902	1926
8863	260	432	861	836	910	643
3604	44	16	15	38	18	9
11315	2322	5003	6315	6065	7518	5570
54206	1396	2235	3433	3460	3960	3158
50651	88	124	78	132	141	92
473	4613	9095	10293	12299	13324	10292
102724552	12	68	54	127	47	56
106632271	21	15	24	21	7	7
2023	16690	22146	38050	31284	40955	33181
100505975	27	25	21	33	27	23
80045	210	84	254	249	199	121
106614088	56	19	50	17	26	12
102724571	3	7	12	7	11	7
9563	4180	3888	4458	5211	5303	4317
80176	96	81	309	243	244	106
100506022	45	61	65	82	78	62
84275	691	799	1157	1136	1313	1133
199953	2142	2085	2298	2234	2716	2093
107985734	18	68	86	125	99	100
5293	395	420	548	556	499	320
101929074	27	50	135	116	109	38
22883	6081	9441	10302	11944	13088	10543
56998	5631	4930	5545	4578	5039	3179
105376717	191	278	297	254	315	200
84328	3920	2942	2679	3328	3630	2509
64802	427	634	574	798	761	528
113391335	9	29	27	38	20	26
10277	3214	5869	7397	7699	8853	6420
23095	15735	31382	17126	23547	26098	25956
105376725	191	263	116	152	120	182
5226	7973	16721	22593	23588	28361	19426
100526739	170	353	452	450	572	372
378708	169	363	493	454	590	402
1325	42	70	74	69	77	52
1676	5657	3201	4798	4972	5198	3778
5195	725	862	1049	1062	1321	949
54897	701	650	629	934	856	1162
105376733	8	4	4	11	7	13
148345	8	6	18	8	10	9
23435	6403	10300	11668	12936	13773	11697
10747	179	410	479	542	527	521
6723	1682	2158	2531	2340	3831	2416
5394	1409	3815	4860	4696	6132	4452
105376736	104	133	167	167	195	142
2475	3454	7703	9348	9527	11161	8819
100873935	29	114	175	185	167	153
10218	73	137	154	159	110	149
29914	1189	1320	1220	1399	1678	1196
105376737	2	12	8	1	7	15
57540	426	666	540	566	623	440
112268221	82	109	92	71	107	108
26232	45	17	27	25	22	8
93611	687	413	585	530	589	306
26270	148	127	92	117	105	90
10459	1035	1771	2128	1862	2414	1579
374946	4504	3488	3218	4427	4857	2643
57085	376	456	849	700	716	565
284498	456	204	279	362	327	275
4524	2013	1618	1789	2229	2221	1638
1185	1996	2326	2844	2780	3255	2222
100379251	101	259	316	300	364	277
4878	22	27	46	18	35	28
26829	710	272	264	344	284	211
90231	1315	1015	1274	1221	1503	1172
5351	847	1734	2163	2488	3339	2712
9927	3410	4601	4919	5119	6060	4675
60672	1443	832	1160	911	1095	815
943	1	1	3	16	1	14
7133	69	95	141	97	54	32
55187	2362	6138	6099	6640	7256	6311
677885	4	30	16	38	37	26
105376744	23	10	1	8	13	9
9249	39	23	30	36	37	51
440563	23	7	5	7	10	1
10630	1432	2480	1002	1457	2605	3169
107984919	12	20	11	15	16	19
7799	2032	5431	6084	7059	8213	6099
23254	1831	1893	725	1136	1870	1905
105376759	766	574	107	150	204	384
107985469	126	111	26	40	42	96
200197	153	223	73	129	212	211
55092	348	251	589	783	1043	701
727684	53	29	40	42	49	63
114827	249	352	385	546	442	309
101927417	26	37	53	89	45	35
101927441	72	68	47	67	51	45
79180	1345	1033	1021	1050	1203	1014
51032	12	40	36	34	30	24
842	370	451	508	532	574	428
23341	783	1465	1832	1954	2005	1439
79814	144	52	129	99	102	74
84301	1160	2108	3687	3665	3700	3112
6248	94	376	608	689	732	586
23207	1701	2914	3021	3464	3703	2762
284723	99	81	73	71	71	61
54751	1732	1365	1181	1441	1945	1255
440567	251	300	391	410	569	299
729614	640	545	489	593	622	466
23013	4410	8389	8634	11470	11486	9902
7709	1250	1183	1042	1114	1095	1106
27129	18	5	2	10	17	6
1187	16	5	11	9	9	8
1188	26	21	87	55	68	31
348487	24	6	28	28	24	18
1969	1993	1665	3365	2802	2985	1673
101927479	102	48	54	89	49	51
128272	304	138	355	310	269	178
101927546	32	14	6	16	10	9
79363	143	145	92	114	98	87
54455	1470	2151	2418	2912	3102	2299
26099	5658	4515	4614	5008	6289	4591
374955	3560	2692	2796	2942	3410	2634
55707	727	1013	1634	1668	1757	1360
107984921	431	374	274	414	300	323
114819	766	755	504	671	534	585
26871	18340	7714	5060	5901	4943	3923
100132147	74	134	82	69	87	52
107985758	5	40	24	12	33	12
7195	0	18	19	10	16	19
55672	3716	4693	5698	6623	7270	4719
105376794	2466	1139	1181	1130	880	1037
84809	872	394	387	303	304	296
11209	56	70	113	73	95	68
107985736	17	44	35	58	40	24
26869	18340	7772	5077	5956	5044	3950
107985759	12	21	6	23	23	11
284729	54	12	45	29	50	42
6060	25091	8115	5200	6177	5157	4024
11223	46	68	90	55	73	58
112267871	108	204	161	130	129	135
7193	13	29	27	23	29	28
105376805	126	128	194	147	180	143
791226	1	17	11	20	8	6
26870	25118	8077	5232	6062	5086	4053
9696	4456	1156	1181	813	739	641
4237	2833	1998	3673	3104	3725	2003
105376806	196	461	872	767	897	518
23400	2306	2101	2234	2658	3120	2124
6390	336	1162	1226	1261	1805	1152
11240	70	98	171	251	201	51
51702	2	5	15	10	4	9
55920	9307	13768	17192	18584	19855	17304
55160	3107	1814	1224	1615	1521	1425
84966	156	121	165	213	320	114
105376814	9	15	31	31	22	11
127707	62	36	57	41	122	33
5081	461	1040	1799	3519	4261	2012
8659	749	712	1000	952	1023	812
126917	811	1054	639	780	804	670
23352	8429	17742	22301	23041	25490	19553
101927895	367	240	211	223	319	209
23065	3897	4226	4461	4901	5781	4696
51154	3030	2475	2825	2599	3607	2815
246181	107	93	118	141	79	115
22977	189	123	133	192	120	148
100506730	494	518	599	676	586	523
8574	1343	2260	3042	2935	3426	2411
54896	1296	751	910	970	1011	791
832	4736	8137	9486	9449	12187	8382
440574	1057	1802	1968	2104	2309	1557
100532736	551	415	617	587	689	416
644068	100	144	113	142	149	164
4681	209	105	276	253	290	147
255104	24	39	44	41	56	9
105376823	9	20	14	14	7	20
23252	1243	1808	2201	2191	2102	1987
127733	185	405	417	556	741	333
101928017	15	32	22	29	28	19
105376825	19	23	27	40	41	17
127731	21	24	50	42	70	54
55450	3877	3295	756	1114	1503	1158
79594	536	927	1201	1275	1511	998
163933	65	26	58	41	55	33
65018	622	1022	907	1234	1302	809
102464833	47	23	15	24	25	9
100861548	1298	1494	1415	1672	1994	1331
1650	3138	5162	6478	7080	8461	6284
57576	275	195	218	251	204	145
400745	100	52	126	91	77	107
112268222	2228	2510	2578	3101	2941	2534
50809	10104	13936	15092	16198	16579	14061
8672	5202	10711	12092	12898	14115	11079
105376830	443	249	146	242	144	183
105376829	155	155	135	175	120	149
100302155	2	16	19	17	9	16
1889	1235	1611	3606	3794	4035	2661
100506801	14	25	27	24	29	33
84224	246	415	585	637	591	391
249	1855	2318	8906	7335	7535	2710
5909	173	344	291	285	291	175
84196	2189	4405	4795	5399	5372	4676
401944	370	328	505	494	506	410
3339	4313	4484	6039	5897	5824	4957
101928043	7	34	19	39	43	48
29092	150	300	364	282	379	274
112268223	29	25	32	35	27	24
998	5464	10368	11940	13018	14391	11626
54361	646	463	727	1285	1321	618
105376845	109	50	45	129	123	54
105376850	10	11	19	11	13	19
9923	1904	3403	4145	4403	4486	3911
2046	13	22	10	25	19	1
2048	6793	7585	6382	8106	8593	5297
100422914	20	145	106	139	150	96
23028	6837	12300	17296	16940	18551	13718
7798	1749	3311	5581	5872	5637	4773
3352	24	23	95	120	171	69
100996511	141	474	507	467	390	566
10236	7299	17014	19173	21650	22619	19784
80818	1018	2500	2176	2495	2821	2206
148898	314	281	328	388	309	235
6920	84	57	78	106	81	62
55616	1938	3182	3738	4450	4614	3598
1870	2327	2047	2695	2240	2512	2342
101928163	80	94	149	127	94	119
105376859	6	23	6	14	20	15
3399	2143	4450	2363	3616	8861	8709
6135	2322	13905	20781	21236	25247	16670
6924	1492	3539	3662	4157	4922	3923
100506963	152	414	470	506	566	465
57095	1293	1974	2236	2137	2574	1677
105376860	29	102	182	161	201	125
11313	1885	1661	2565	2391	2668	1673
2582	487	887	977	867	1072	801
3155	299	449	653	578	650	463
2517	142	323	319	370	378	170
55629	1742	5896	7680	7616	8396	6677
10772	4252	12372	13637	15622	15496	13403
127294	17	11	28	37	30	31
163702	101	62	239	295	258	113
57822	11	7	233	129	143	39
90529	123	359	492	550	512	331
57185	165	351	538	625	568	369
11123	828	940	902	1348	1682	1195
100506985	13	65	56	101	113	68
10250	4695	9546	12997	12714	14612	11790
25932	2087	11236	18964	18455	19493	16224
25949	380	865	1060	1312	1319	1039
57035	1612	2094	2283	2346	2310	1983
6007	81	37	79	139	69	98
23585	518	1780	2110	2148	2414	1802
6006	260	1226	1497	1505	1680	1270
55219	571	2189	2277	2787	2957	2194
26119	465	457	832	805	928	751
57134	316	384	460	458	485	376
57190	6091	9618	10241	10594	12736	10268
56181	760	1677	1513	1663	2240	1524
646471	457	393	308	407	469	302
79000	492	792	996	841	1016	901
164091	151	334	163	197	281	307
3925	24627	33717	30890	39239	51692	35239
100500808	64	430	508	640	881	567
5051	289	575	646	723	673	505
101928216	13	23	37	37	37	22
2134	69	89	95	93	118	78
7780	9	13	19	15	42	18
149420	595	1382	1500	1630	1788	1367
105376886	0	11	1	18	7	9
79927	55	28	105	55	72	44
110806296	13	10	7	12	17	7
51042	393	323	495	351	647	348
10256	120	75	120	91	121	54
64793	877	2229	3138	2984	3136	2849
83442	942	2238	2668	2650	3437	2514
91544	693	756	857	816	1013	651
55057	67	31	156	83	53	77
79727	2855	1961	29105	7705	7904	10771
79947	905	1334	1733	1634	1897	1444
101928324	21	119	92	159	114	136
3151	11713	27883	30014	28565	33922	28049
6195	395	459	763	651	611	545
105376888	1	9	12	13	19	15
101928728	51	48	88	100	98	83
8289	7861	14412	16822	19324	19443	16497
55650	162	311	375	368	404	258
84243	1593	1737	2254	2155	2422	1799
2810	14	13	24	13	14	19
54707	1843	1218	1329	1406	1604	1274
63906	827	539	365	546	599	497
10726	2415	2997	2383	3105	2954	3046
126695	1	14	11	9	2	11
388610	531	688	504	871	1332	1252
115572	544	365	431	366	539	529
101928391	10	1	4	6	5	18
6548	915	907	1545	1439	1734	1463
23038	2232	2380	2725	3318	3512	2689
84065	477	898	1084	1085	1358	1006
644961	111	182	244	296	261	203
84958	156	59	93	118	88	68
9064	183	197	441	506	526	414
2827	113	205	296	286	364	282
10163	3729	5566	9203	10587	12098	8635
105376892	20	12	27	7	13	23
27245	2411	1771	2897	3556	3278	2776
2537	788	235	569	515	510	250
199870	637	889	900	1055	1144	799
23673	476	1639	1180	1616	1794	1376
5511	797	2549	3040	3451	3784	2985
677774	146	16	31	49	37	30
9473	74	70	142	106	95	95
6118	486	2256	3459	2935	3371	2458
27293	18	14	27	31	30	19
55113	439	425	485	512	623	429
2140	1981	2494	4309	4302	4487	3260
5724	17	15	16	19	10	12
22826	1353	4988	6126	6003	7576	5541
93974	990	2021	2297	2279	2928	1848
83667	537	466	525	601	603	461
54797	1447	395	588	502	522	432
65979	10334	5756	6772	7704	8461	6132
1104	1840	2644	2981	2722	3118	3047
8420	821	682	954	797	940	1001
6080	1111	1839	2545	2120	1876	1437
26768	958	1427	1878	1637	1700	1193
54952	468	956	1182	1124	1278	899
85028	265	382	479	354	498	438
692212	20	17	26	15	18	10
677838	57	56	70	45	49	49
677825	6	24	23	22	41	22
692073	13	51	53	40	50	57
115273	122	142	140	166	171	113
6883	606	755	1001	968	1163	826
105378616	771	166	191	210	233	169
26824	631	119	134	147	185	117
10691	957	1627	1918	2205	2460	1997
51441	1274	5633	7880	8071	9047	6841
4985	6	4	97	150	159	133
2035	7727	12046	17282	16640	17934	13176
399474	273	573	826	904	891	698
6429	2685	3562	2745	3402	3484	3255
51102	378	649	888	933	980	733
10076	1018	1004	1512	1512	1337	606
4146	11	8	9	5	16	7
100129196	17	7	9	11	21	19
7805	5	5	11	15	13	7
9672	11581	13124	9076	13710	17227	16214
9698	3082	9101	11567	12785	13382	9932
692234	11	27	37	58	26	30
692235	9	46	65	73	47	44
692200	5	22	33	25	24	26
107984935	20	6	16	6	20	8
79570	4970	4124	4967	4488	5258	2912
9410	1396	3493	5132	4326	5260	4068
51538	904	1977	2414	2653	3053	2042
2170	225	369	517	630	647	389
347735	1315	1469	1338	1661	2157	1412
3061	67	107	136	127	172	130
553115	1248	1593	1896	1902	2375	1612
107985471	22	22	43	33	32	31
1307	43	21	51	114	100	164
576	3177	1940	1988	2223	2368	1429
90853	13	9	36	6	18	14
8073	4056	9170	11498	11631	12567	9460
10657	9507	17029	20184	20781	23156	17211
55116	725	1062	1173	1267	1546	1143
100847018	61	9	11	12	6	7
23633	3462	5771	6570	7245	7747	6270
200081	3360	4654	4420	5411	5574	5074
79140	565	472	453	550	482	395
56063	657	736	812	855	874	642
55721	528	538	631	682	637	525
149069	314	274	316	386	339	302
8668	2564	4141	5121	5433	7008	4871
339483	291	224	623	572	561	327
84734	24	39	44	65	49	39
3065	1814	3270	3648	3515	3358	3129
65108	36744	46664	53478	52706	61958	41327
105378629	31	52	42	86	70	47
81629	267	223	267	280	299	293
100128071	147	46	49	38	58	27
55108	2096	2208	2813	3136	3093	2332
728116	1434	1096	1131	1277	1199	794
653121	1133	1311	1524	1726	1831	1445
102723870	40	27	21	38	21	9
339487	431	964	1222	1198	1301	931
5928	9991	20083	25247	26084	27260	21726
81493	4089	4849	6332	6612	6360	5442
57648	1887	1699	2682	2672	2764	2043
8565	1890	3895	4432	4377	6012	4710
64766	2175	3129	3546	3783	3548	3027
252995	388	540	632	584	688	349
3208	100	69	101	114	65	57
113452	25	29	23	16	17	13
127544	1093	1060	935	1127	1555	1021
204	3154	4028	5509	5139	6018	4641
113451	399	304	430	416	371	323
112268224	12	25	34	26	31	27
55223	400	476	1190	1078	1287	752
149076	3327	3330	5142	5461	5976	4317
127550	13	23	19	20	12	18
1912	4762	7038	10507	9903	10378	6583
100500853	135	306	449	361	492	289
101929464	26	65	116	95	53	51
7579	585	1102	1264	1539	1421	1100
114784	143	284	435	745	902	977
402779	2	5	17	14	19	27
105378642	23	27	17	7	10	14
2707	22	54	16	20	25	17
2701	498	1535	68	59	114	97
113444	1099	1864	1377	1769	2161	1540
58512	574	505	225	341	367	320
653160	34	69	64	87	77	48
100506144	38	126	196	158	175	113
9204	260	1091	1400	1483	1521	1155
79830	1440	2199	3258	3276	2847	2672
6421	16642	39216	44418	46289	49521	42496
9202	3182	11564	14916	15297	16696	12805
100861513	145	442	494	495	570	436
79932	2527	3275	3784	4154	4498	3376
23154	1637	1250	1594	1733	1940	1255
339488	140	152	170	203	179	180
105378645	19	14	8	14	16	16
5690	8144	6489	8104	7860	9867	6913
127703	733	647	577	623	691	697
63967	4905	5914	4867	5791	5555	6391
192670	1517	2682	3630	4053	3574	3003
26523	10027	13352	11396	14770	13714	9415
192669	4859	6735	6043	7415	6499	5516
105378647	10	32	15	15	16	22
27285	229	289	271	282	334	237
54936	874	848	872	882	1075	833
1296	36	60	50	43	95	86
27095	824	1298	1533	1607	1854	1345
55700	7436	3202	2082	2607	2590	2596
9967	5583	13438	14979	16991	18747	16753
79729	494	290	270	257	297	235
55194	669	385	205	245	335	322
83931	3157	4022	4197	4207	4822	3531
84967	128	465	629	491	775	474
127700	182	424	596	587	688	458
109616970	5	9	7	10	14	1
107984940	23	12	16	15	11	4
64960	1021	1586	2444	2187	2736	2041
2899	79	96	48	67	66	59
728431	1	15	14	20	14	9
80149	84	106	192	144	133	87
64769	1255	3427	3885	4173	4964	3360
100847010	12	34	30	32	42	26
105378649	18	51	89	95	76	61
79753	820	842	1198	1181	1242	922
7802	761	1589	2017	2079	2368	1330
29889	785	3240	4100	4232	4862	3630
284654	2311	891	1798	2350	1738	509
54955	487	878	1371	1234	1249	961
55143	797	2850	3969	3655	4042	3485
284656	85	71	66	73	57	47
149175	400	922	360	538	648	446
79693	349	480	747	575	728	584
127687	1468	879	936	809	1045	601
4520	619	1426	1576	1798	1925	1434
3633	1299	1092	1580	1319	1642	1320
105378651	80	39	38	46	62	44
10946	3083	5756	7339	8064	9752	7700
2275	372	401	743	956	1194	841
51118	802	1983	2252	2293	2888	2274
5453	142	96	174	151	142	111
107985103	19	25	26	11	11	23
105378653	3	12	17	11	13	13
105378657	4	11	17	12	35	2
64121	229	1162	1086	1461	1428	1318
100527950	227	595	840	740	829	688
26292	193	493	733	639	739	603
105378663	16	15	19	17	16	14
81025	32	78	72	80	67	60
54933	65	81	82	97	64	74
105378662	47	25	17	17	22	31
79647	3459	5137	6476	6592	7560	5345
4725	1512	3654	4960	4518	5545	3699
23499	19972	38872	41204	46361	45701	35626
643314	2281	3983	3817	5078	5161	4848
105378950	33	27	28	21	28	24
353500	88	92	70	59	78	46
728448	84	113	124	96	74	91
8761	4615	5833	7748	7103	8268	6175
101929516	152	649	881	850	947	728
677834	26	45	68	41	25	33
26508	188	243	742	879	880	335
51440	179	397	97	184	301	145
10450	881	1356	1810	1851	2010	1472
656	50	119	146	147	158	136
105378667	18	20	23	16	31	24
54802	774	1743	2167	2118	2298	1833
4610	2805	1943	1309	1628	1956	1552
105378668	253	155	125	149	171	106
84879	503	1072	880	858	1143	808
105378669	23	39	30	29	27	30
10487	1647	6428	6986	8048	9852	7705
5538	2356	4959	6822	6761	8190	6570
6018	1046	3046	3717	4342	4177	3247
10269	754	2403	3015	3305	3619	2820
1298	1208	357	428	552	576	497
64744	991	1505	1230	1466	2007	1413
65243	586	1508	1897	1862	2053	1615
339559	159	452	387	452	490	442
105378672	6	25	34	41	24	40
64789	257	548	683	703	773	674
127396	63	265	294	290	320	262
9783	2371	2440	2462	3306	2855	1704
105378675	42	45	19	59	19	28
105378674	20	9	2	14	11	9
100130557	481	371	377	487	449	326
4802	1247	2520	3331	3375	4366	2839
407034	14	9	20	7	19	13
407031	7	10	16	12	15	12
9132	63	68	186	112	99	74
163732	606	191	315	210	229	122
1503	2648	4456	6238	5577	6688	5563
100507178	465	386	419	385	438	474
200172	257	322	399	352	365	374
22955	1094	2187	2818	2706	3139	2699
100132074	165	53	50	64	53	51
59269	378	620	362	481	429	340
22887	1673	3171	4161	4442	4661	3484
284716	128	347	190	260	206	75
84217	2	27	36	19	28	11
728621	696	746	969	1240	1076	630
79717	394	856	1078	1067	1121	730
10465	832	1624	2125	1998	2342	1670
4904	11699	41411	45404	47989	59600	42550
149461	27	17	38	19	29	17
64175	2109	1672	3144	3014	3728	2401
79078	806	1222	1066	1103	1260	906
105378683	36	51	46	31	50	37
100129924	58	58	66	61	81	49
107984946	13	13	9	21	23	31
374969	238	957	1074	1214	1300	760
114625	251	620	717	783	768	562
51058	598	635	900	880	887	676
339539	18	6	28	20	12	16
6513	10093	19836	18976	17107	21003	10361
440584	220	256	207	257	233	126
440585	64	109	293	270	254	315
10969	1484	2029	2413	2240	2955	2178
149465	43	128	166	146	167	62
105378685	5	15	29	21	18	15
7075	118	100	154	172	207	158
4352	15	23	13	18	14	11
105378687	18	19	8	20	37	20
991	1936	4156	6504	5761	6706	5676
64834	219	430	477	399	573	458
112268225	102	100	63	90	73	66
112950	280	910	1110	1112	1555	990
107984947	19	93	108	112	172	114
23334	2358	3058	3138	3190	3626	2766
100873952	54	61	79	64	75	65
81888	407	503	481	518	557	424
5792	10307	10798	8707	10146	8892	8012
9682	2755	4223	3804	4921	4672	3586
100132774	324	404	409	463	444	367
6487	652	1212	1377	1378	1460	1163
101929592	57	54	27	33	16	23
102464830	1	13	10	15	8	9
9048	63	62	44	43	41	19
105378688	11	20	14	13	14	23
101929609	76	140	139	139	175	120
9670	788	1464	1370	1541	1952	1245
1802	917	762	1343	1029	1329	1049
533	1039	1437	1632	1533	1759	1207
8704	2225	2762	3400	3119	3541	2609
149473	189	192	316	229	238	159
6536	332	397	793	607	677	584
107984948	59	59	46	48	19	31
128209	0	8	7	7	16	12
55929	936	1220	1359	1261	1585	1081
79033	1797	2312	2984	2946	3286	2407
100874278	79	136	68	82	66	97
55182	2572	2950	2103	2128	2449	1738
107984951	60	83	8	9	3	1
107984950	446	827	756	841	1008	715
79639	147	246	218	213	248	150
339541	149	190	204	174	201	107
105378690	24	48	38	58	46	30
26828	120	66	84	136	112	82
26830	60	212	134	214	265	168
11004	1409	3684	5530	4843	5394	4503
109623476	37	17	12	10	16	16
6202	4673	22510	35236	33322	37242	27055
26811	120	44	86	75	179	43
94161	102	92	139	97	97	78
94162	125	40	34	49	48	42
94163	41	20	42	23	36	33
266675	82	46	64	71	53	27
1263	379	386	425	389	431	238
343521	107	100	83	74	52	61
149478	240	124	96	90	78	68
107984952	104	91	101	112	97	86
8643	91	85	89	96	110	91
8891	229	922	1054	1204	1469	1155
79654	790	1129	1027	1268	1390	1003
7389	685	1065	1742	1672	2139	1544
57643	673	1370	1365	1465	1743	1074
105378691	39	34	46	45	40	34
400752	26	30	38	39	33	31
84842	64	88	130	109	133	106
4595	638	787	1219	1107	1270	1006
114034	272	686	862	823	1050	900
10420	75	128	267	271	225	207
126661	87	79	157	129	139	105
25974	3135	2733	4132	4076	4447	3514
5052	3078	6162	10713	9889	11217	8799
10327	2199	2625	3896	3537	3513	2472
4678	11584	15421	14789	16029	14319	16346
149483	155	191	165	213	177	177
60313	1315	4085	5982	6073	6058	4533
728963	21	92	98	96	93	106
51249	294	715	1082	1071	1246	890
3652	1187	1133	1283	1197	1124	964
23139	2850	3739	3113	3807	4134	4067
105378694	136	123	152	149	80	155
110117499	1735	3905	4842	4896	4542	3167
8503	2974	5247	6303	6298	5758	4034
101929626	14	8	11	10	18	8
10103	27	54	51	45	50	57
55624	1764	3003	3105	3483	3949	3100
541468	123	111	70	122	88	71
8438	1212	1866	2722	2182	2503	2427
10489	2521	3655	4355	4500	5189	3964
7388	2159	2598	3562	3285	4193	2883
387338	640	861	1024	1066	1275	1004
2166	183	186	253	196	213	111
127343	3	2	2	17	16	35
100507423	61	80	109	109	106	72
8569	448	714	911	1028	1036	822
148932	136	196	304	303	301	208
105378697	10	16	9	9	7	9
64756	1213	2527	3240	3128	3709	2403
374973	23	28	8	35	32	27
100130197	9	101	110	111	124	87
9813	1365	2681	3092	3247	3569	2669
105378698	11	59	70	71	62	61
260293	3	7	32	38	34	11
284541	0	10	13	10	2	8
105378701	1	1	26	19	12	12
6491	783	2782	3890	3784	4368	3694
51727	796	3271	4363	4223	4424	3383
102724077	20	42	40	42	34	52
84793	10	17	16	34	30	44
2306	0	1	18	18	14	13
388630	106	71	388	530	513	440
105379778	2	8	15	12	5	18
391037	4	6	28	20	26	10
200010	292	283	346	379	302	370
54558	842	2580	3106	3334	3386	2700
84871	27	48	81	106	117	102
79656	611	890	821	884	965	718
1996	567	2300	1859	3057	2866	878
107984955	15	52	33	47	47	16
